"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"Richmond","Brisbane","182.443733163104","190.915197601997","90.8835474949156","96.3861930076294",-3.5,172.5,104,97,201,"over",28.5,"win",-5.5026455127138,7,"away","loss"
"Essendon","North Melbourne","134.039962812837","140.403301670666","61.9011428713643","75.7885593369279",-28.5,169.5,114,66,180,"under",10.5,"lose",-13.8874164655636,48,"away","loss"
"Melbourne","Collingwood","140.095153665487","146.160768316115","73.9655545589036","69.4632607701468",-14.5,155.5,89,96,185,"under",29.5,"lose",4.5022937887568,-7,"away","win"
"Hawthorn","Gold Coast","153.300710513401","160.396387053387","75.7316754283587","81.3911912705266",-3.5,164.5,70,63,133,"under",-31.5,"win",-5.65951584216791,7,"away","loss"
"GWS Giants","Essendon","143.995219270017","150.576638982225","71.5244823748053","76.1357201734722",1.5,169.5,96,69,165,"under",-4.5,"win",-4.61123779866689,27,"away","loss"
"Western Bulldogs","Fremantle","149.723012301861","156.504275115608","72.2983347358028","81.1309949305031",-5.5,163.5,78,95,173,"under",9.5,"lose",-8.83266019470031,-17,"away","win"
"Geelong","St Kilda","144.336700472763","151.142765131052","69.4115238486437","78.6240688895557",-33.5,155.5,110,65,175,"under",19.5,"lose",-9.212545040912,45,"away","loss"
"Port Adelaide","Richmond","160.564736385046","167.92036581039","77.8599915463433","86.782910369507",-7.5,151.5,71,109,180,"over",28.5,"win",-8.9229188231637,-38,"away","win"
"North Melbourne","Sydney","142.83642367098","148.649791187864","83.8641933486071","62.3399867829309",41.5,171.5,88,126,214,"under",42.5,"lose",21.5242065656762,-38,"home","win"
"Brisbane","Carlton","168.835567862673","176.104827455215","88.0851969581497","84.6545566420712",-14.5,175.5,114,81,195,"no bet",19.5,NA,3.4306403160785,33,"away","loss"
"West Coast","Adelaide","122.397973674789","128.288010241238","57.4886234653166","68.3531467813561",5.5,158.5,86,102,188,"under",29.5,"lose",-10.8645233160395,-16,"away","win"
