home_team,away_team,totals_quantile,sides_quantile,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,,
GWS Giants,Gold Coast,148.0496856,-6.627254208,16:35,Giants Stadium,83,57,12,11,8,9,1.39,2.83,14,1.42,1.36,1.65,1.6,2.9,2.3,3.2,2.4,-15.5,-18.5,-7.5,-8.5,15.5,7.5,18.5,8.5,1.91,1.91,1.87,1.87,1.91,1.95,1.91,1.95,149.5,149.5,163.5,162.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,140,9,10
Collingwood,Geelong,140.3159314,-15.61264379,19:25,MCG,91,104,13,13,16,8,2.47,1.51,14,2.55,2.5,3,2.55,1.52,1.4,1.54,1.54,11.5,10.5,16.5,11.5,-11.5,-16.5,-10.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,163.5,166.5,163.5,1.95,1.91,1.95,1.95,1.85,1.87,1.91,1.87,,195,under,
Collingwood,Geelong,147.9496053,-8.130003047,19:25,MCG,91,104,13,13,16,8,2.47,1.51,14,2.55,2.5,3,2.55,1.52,1.4,1.54,1.54,11.5,10.5,16.5,11.5,-11.5,-16.5,-10.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,163.5,166.5,163.5,1.95,1.91,1.95,1.95,1.85,1.87,1.91,1.87,,195,9,11
Brisbane,North Melbourne,146.9813074,17.86696082,19:00,Gabba,156,48,23,18,7,6,1.05,8.86,14,1.17,1.06,1.17,1.06,5.25,5.25,10.5,10.5,-30.5,-46.5,-30.5,-46.5,30.5,30.5,46.5,46.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,167.5,167.5,1.89,1.85,1.91,1.91,1.89,1.89,1.91,1.91,,204,under,
Brisbane,North Melbourne,153.4311067,24.4858362,19:00,Gabba,156,48,23,18,7,6,1.05,8.86,14,1.17,1.06,1.17,1.06,5.25,5.25,10.5,10.5,-30.5,-46.5,-30.5,-46.5,30.5,30.5,46.5,46.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,167.5,167.5,1.89,1.85,1.91,1.91,1.89,1.89,1.91,1.91,,204,9,12
Carlton,Hawthorn,138.4021091,7.871048081,13:10,MCG,74,73,11,8,11,7,1.62,2.22,14,1.5,1.36,1.68,1.63,2.6,2.2,3.2,2.35,-12.5,-18.5,-7.5,-8.5,12.5,7.5,18.5,8.5,1.91,1.91,1.95,1.91,1.91,1.87,1.91,1.91,171.5,165.5,171.5,165.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,147,under,
Carlton,Hawthorn,145.0060091,14.39594473,13:10,MCG,74,73,11,8,11,7,1.62,2.22,14,1.5,1.36,1.68,1.63,2.6,2.2,3.2,2.35,-12.5,-18.5,-7.5,-8.5,12.5,7.5,18.5,8.5,1.91,1.91,1.95,1.91,1.91,1.87,1.91,1.91,171.5,165.5,171.5,165.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,147,10,12
St Kilda,Richmond,139.8931164,0.044168789,15:20,Marvel Stadium,117,84,18,9,13,6,1.66,2.16,13,2.25,1.72,2.25,1.72,1.65,1.65,2.18,2.18,7.5,-5.5,7.5,-5.5,-7.5,-7.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,165.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,201,under,
St Kilda,Richmond,146.5948302,6.74047603,15:20,Marvel Stadium,117,84,18,9,13,6,1.66,2.16,13,2.25,1.72,2.25,1.72,1.65,1.65,2.18,2.18,7.5,-5.5,7.5,-5.5,-7.5,-7.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,165.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,201,10,13
West Coast,Fremantle,140.3766315,-0.881716787,15:20,Optus Stadium,47,102,7,5,15,12,1.73,2.05,13,2.1,1.65,2.1,1.75,1.75,1.75,2.25,2.15,4.5,-5.5,4.5,-4.5,-4.5,-4.5,5.5,4.5,1.91,1.82,1.91,1.91,1.91,1.91,2,1.91,148.5,148.5,153.5,153.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,149,under,
West Coast,Fremantle,146.9643028,5.650808447,15:20,Optus Stadium,47,102,7,5,15,12,1.73,2.05,13,2.1,1.65,2.1,1.75,1.75,1.75,2.25,2.15,4.5,-5.5,4.5,-4.5,-4.5,-4.5,5.5,4.5,1.91,1.82,1.91,1.91,1.91,1.91,2,1.91,148.5,148.5,153.5,153.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,149,10,14
